GalarNo,DexNo,Pokemon,Type 1,Type 2
167,784,KOMMO-O,Dragon,Fighting
168,027,SANDSHREW,Ground,
168,027,SANDSHREW,Ice,Steel
169,028,SANDSLASH,Ground,
169,028,SANDSLASH,Ice,Steel
170,104,CUBONE,Ground,
171,105,MAROWAK,Ground,
171,105,MAROWAK,Fire,Ghost
172,115,KANGASKHAN,Normal,
173,324,TORKOAL,Fire,
174,843,SILICOBRA,Ground,
175,844,SANDACONDA,Ground,
176,551,SANDILE,Ground,Dark
177,552,KROKOROK,Ground,Dark
178,553,KROOKODILE,Ground,Dark
179,627,RUFFLET,Normal,Flying
180,628,BRAVIARY,Normal,Flying
181,629,VULLABY,Dark,Flying
182,630,MANDIBUZZ,Dark,Flying
183,111,RHYHORN,Ground,Rock
184,112,RHYDON,Ground,Rock
185,464,RHYPERIOR,Ground,Rock
186,636,LARVESTA,Bug,Fire
187,637,VOLCARONA,Bug,Fire
188,170,CHINCHOU,Water,Electric
189,171,LANTURN,Water,Electric
190,320,WAILMER,Water,
191,321,WAILORD,Water,
192,592,FRILLISH,Water,Ghost
192,592,FRILLISH,Water,Ghost
193,593,JELLICENT,Water,Ghost
193,593,JELLICENT,Water,Ghost
194,690,SKRELP,Poison,Water
195,691,DRAGALGE,Poison,Dragon
196,692,CLAUNCHER,Water,
197,693,CLAWITZER,Water,
198,116,HORSEA,Water,
199,117,SEADRA,Water,
200,230,KINGDRA,Water,Dragon
201,548,PETILIL,Grass,
202,549,LILLIGANT,Grass,
203,415,COMBEE,Bug,Flying
204,416,VESPIQUEN,Bug,Flying
205,102,EXEGGCUTE,Grass,Psychic
206,103,EXEGGUTOR,Grass,Psychic
206,103,EXEGGUTOR,Grass,Dragon
207,132,DITTO,Normal,
208,137,PORYGON,Normal,
209,233,PORYGON2,Normal,
210,474,PORYGON-Z,Normal,
211,893,ZARUDE,Dark,Grass
