id,DexNo,Pokemon,Form,Type 1,Type 2,Boxable,Bankable
107,065,ALAKAZAM,MEGA,Psychic,,TRUE,FALSE
108,066,MACHOP,,Fighting,,TRUE,TRUE
109,067,MACHOKE,,Fighting,,TRUE,TRUE
110,068,MACHAMP,,Fighting,,TRUE,TRUE
111,068,MACHAMP,GIGANTAMAX,Fighting,,TRUE,TRUE
112,069,BELLSPROUT,,Grass,Poison,TRUE,TRUE
113,070,WEEPINBELL,,Grass,Poison,TRUE,TRUE
114,071,VICTREEBEL,,Grass,Poison,TRUE,TRUE
115,072,TENTACOOL,,Water,Poison,TRUE,TRUE
116,073,TENTACRUEL,,Water,Poison,TRUE,TRUE
117,074,GEODUDE,,Rock,Ground,TRUE,TRUE
118,074,GEODUDE,ALOLAN,Rock,Electric,TRUE,TRUE
119,075,GRAVELER,,Rock,Ground,TRUE,TRUE
120,075,GRAVELER,ALOLAN,Rock,Electric,TRUE,TRUE
121,076,GOLEM,,Rock,Ground,TRUE,TRUE
122,076,GOLEM,ALOLAN,Rock,Electric,TRUE,TRUE
123,077,PONYTA,,Fire,,TRUE,TRUE
124,077,PONYTA,GALARIAN,Psychic,,TRUE,TRUE
125,078,RAPIDASH,,Fire,,TRUE,TRUE
126,078,RAPIDASH,GALARIAN,Psychic,Fairy,TRUE,TRUE
127,079,SLOWPOKE,,Water,Psychic,TRUE,TRUE
128,080,SLOWBRO,,Water,Psychic,TRUE,TRUE
129,080,SLOWBRO,MEGA,Water,Psychic,TRUE,FALSE
130,081,MAGNEMITE,,Electric,Steel,TRUE,TRUE
131,082,MAGNETON,,Electric,Steel,TRUE,TRUE
132,083,FARFETCH'D,,Normal,Flying,TRUE,TRUE
133,083,FARFETCH'D,GALARIAN,Fighting,,TRUE,TRUE
134,084,DODUO,FEMALE,Normal,Flying,TRUE,TRUE
135,084,DODUO,MALE,Normal,Flying,TRUE,TRUE
136,085,DODRIO,FEMALE,Normal,Flying,TRUE,TRUE
137,085,DODRIO,MALE,Normal,Flying,TRUE,TRUE
138,086,SEEL,,Water,,TRUE,TRUE
139,087,DEWGONG,,Water,Ice,TRUE,TRUE
140,088,GRIMER,,Poison,,TRUE,TRUE
141,088,GRIMER,ALOLAN,Poison,Dark,TRUE,TRUE
142,089,MUK,,Poison,,TRUE,TRUE
143,089,MUK,ALOLAN,Poison,Dark,TRUE,TRUE
144,090,SHELLDER,,Water,,TRUE,TRUE
145,091,CLOYSTER,,Water,Ice,TRUE,TRUE
146,092,GASTLY,,Ghost,Poison,TRUE,TRUE
147,093,HAUNTER,,Ghost,Poison,TRUE,TRUE
148,094,GENGAR,,Ghost,Poison,TRUE,TRUE
149,094,GENGAR,MEGA,Ghost,Poison,TRUE,FALSE
150,094,GENGAR,GIGANTAMAX,Ghost,Poison,TRUE,TRUE
151,095,ONIX,,Rock,Ground,TRUE,TRUE
152,096,DROWZEE,,Psychic,,TRUE,TRUE
153,097,HYPNO,FEMALE,Psychic,,TRUE,TRUE
154,097,HYPNO,MALE,Psychic,,TRUE,TRUE
155,098,KRABBY,,Water,,TRUE,TRUE
156,099,KINGLER,,Water,,TRUE,TRUE
157,099,KINGLER,GIGANTAMAX,Water,,TRUE,TRUE
158,100,VOLTORB,,Electric,,TRUE,TRUE
159,101,ELECTRODE,,Electric,,TRUE,TRUE
160,102,EXEGGCUTE,,Grass,Psychic,TRUE,TRUE
161,103,EXEGGUTOR,,Grass,Psychic,TRUE,TRUE
162,103,EXEGGUTOR,ALOLAN,Grass,Dragon,TRUE,TRUE
163,104,CUBONE,,Ground,,TRUE,TRUE
164,105,MAROWAK,,Ground,,TRUE,TRUE
165,105,MAROWAK,ALOLAN,Fire,Ghost,TRUE,TRUE
166,106,HITMONLEE,,Fighting,,TRUE,TRUE
167,107,HITMONCHAN,,Fighting,,TRUE,TRUE
168,108,LICKITUNG,,Normal,,TRUE,TRUE
169,109,KOFFING,,Poison,,TRUE,TRUE
170,110,WEEZING,,Poison,,TRUE,TRUE
171,110,WEEZING,GALARIAN,Poison,Fairy,TRUE,TRUE
172,111,RHYHORN,FEMALE,Ground,Rock,TRUE,TRUE
173,111,RHYHORN,MALE,Ground,Rock,TRUE,TRUE
174,112,RHYDON,FEMALE,Ground,Rock,TRUE,TRUE
175,112,RHYDON,MALE,Ground,Rock,TRUE,TRUE
176,113,CHANSEY,,Normal,,TRUE,TRUE
177,114,TANGELA,,Grass,,TRUE,TRUE
178,115,KANGASKHAN,,Normal,,TRUE,TRUE
179,115,KANGASKHAN,MEGA,Normal,,TRUE,FALSE
180,116,HORSEA,,Water,,TRUE,TRUE
181,117,SEADRA,,Water,,TRUE,TRUE
182,118,GOLDEEN,FEMALE,Water,,TRUE,TRUE
183,118,GOLDEEN,MALE,Water,,TRUE,TRUE
184,119,SEAKING,FEMALE,Water,,TRUE,TRUE
185,119,SEAKING,MALE,Water,,TRUE,TRUE
186,120,STARYU,,Water,,TRUE,TRUE
187,121,STARMIE,,Water,Psychic,TRUE,TRUE
188,122,MR. MIME,,Psychic,Fairy,TRUE,TRUE
189,122,MR. MIME,GALARIAN,Ice,Psychic,TRUE,TRUE
190,123,SCYTHER,FEMALE,Bug,Flying,TRUE,TRUE
191,123,SCYTHER,MALE,Bug,Flying,TRUE,TRUE
192,124,JYNX,,Ice,Psychic,TRUE,TRUE
193,125,ELECTABUZZ,,Electric,,TRUE,TRUE
194,126,MAGMAR,,Fire,,TRUE,TRUE
195,127,PINSIR,,Bug,,TRUE,TRUE
196,127,PINSIR,MEGA,Bug,Flying,TRUE,FALSE
197,128,TAUROS,,Normal,,TRUE,TRUE
198,129,MAGIKARP,FEMALE,Water,,TRUE,TRUE
199,129,MAGIKARP,MALE,Water,,TRUE,TRUE
200,130,GYARADOS,FEMALE,Water,Flying,TRUE,TRUE
201,130,GYARADOS,MALE,Water,Flying,TRUE,TRUE
202,130,GYARADOS,MEGA,Water,Dark,TRUE,FALSE
203,131,LAPRAS,,Water,Ice,TRUE,TRUE
204,131,LAPRAS,GIGANTAMAX,Water,Ice,TRUE,TRUE
205,132,DITTO,,Normal,,TRUE,TRUE
206,133,EEVEE,,Normal,,TRUE,TRUE
207,133,EEVEE,GIGANTAMAX,Normal,,TRUE,TRUE
208,134,VAPOREON,,Water,,TRUE,TRUE
209,135,JOLTEON,,Electric,,TRUE,TRUE
210,136,FLAREON,,Fire,,TRUE,TRUE
211,137,PORYGON,,Normal,,TRUE,TRUE
212,138,OMANYTE,,Rock,Water,TRUE,TRUE
213,139,OMASTAR,,Rock,Water,TRUE,TRUE
214,140,KABUTO,,Rock,Water,TRUE,TRUE
215,141,KABUTOPS,,Rock,Water,TRUE,TRUE
216,142,AERODACTYL,,Rock,Flying,TRUE,TRUE
217,142,AERODACTYL,MEGA,Rock,Flying,TRUE,FALSE
218,143,SNORLAX,,Normal,,TRUE,TRUE
219,143,SNORLAX,GIGANTAMAX,Normal,,TRUE,TRUE
220,144,ARTICUNO,,Ice,Flying,TRUE,TRUE
221,145,ZAPDOS,,Electric,Flying,TRUE,TRUE
222,146,MOLTRES,,Fire,Flying,TRUE,TRUE
223,147,DRATINI,,Dragon,,TRUE,TRUE
224,148,DRAGONAIR,,Dragon,,TRUE,TRUE
225,149,DRAGONITE,,Dragon,Flying,TRUE,TRUE
226,150,MEWTWO,,Psychic,,TRUE,TRUE
227,150,MEWTWO,MEGA (X),Psychic,,TRUE,FALSE
228,150,MEWTWO,MEGA (Y),Psychic,,TRUE,FALSE
229,151,MEW,,Psychic,,TRUE,TRUE
230,152,CHIKORITA,,Grass,,TRUE,TRUE
231,153,BAYLEEF,,Grass,,TRUE,TRUE
232,154,MEGANIUM,FEMALE,Grass,,TRUE,TRUE
233,154,MEGANIUM,MALE,Grass,,TRUE,TRUE
234,155,CYNDAQUIL,,Fire,,TRUE,TRUE
235,156,QUILAVA,,Fire,,TRUE,TRUE
236,157,TYPHLOSION,,Fire,,TRUE,TRUE
237,158,TOTODILE,,Water,,TRUE,TRUE
238,159,CROCONAW,,Water,,TRUE,TRUE
239,160,FERALIGATR,,Water,,TRUE,TRUE
240,161,SENTRET,,Normal,,TRUE,TRUE
241,162,FURRET,,Normal,,TRUE,TRUE
242,163,HOOTHOOT,,Normal,Flying,TRUE,TRUE
243,164,NOCTOWL,,Normal,Flying,TRUE,TRUE
244,165,LEDYBA,FEMALE,Bug,Flying,TRUE,TRUE
245,165,LEDYBA,MALE,Bug,Flying,TRUE,TRUE
246,166,LEDIAN,FEMALE,Bug,Flying,TRUE,TRUE
247,166,LEDIAN,MALE,Bug,Flying,TRUE,TRUE
248,167,SPINARAK,,Bug,Poison,TRUE,TRUE
249,168,ARIADOS,,Bug,Poison,TRUE,TRUE
250,169,CROBAT,,Poison,Flying,TRUE,TRUE
251,170,CHINCHOU,,Water,Electric,TRUE,TRUE
252,171,LANTURN,,Water,Electric,TRUE,TRUE
253,172,PICHU,,Electric,,TRUE,TRUE
254,173,CLEFFA,,Fairy,,TRUE,TRUE
255,174,IGGLYBUFF,,Normal,Fairy,TRUE,TRUE
256,175,TOGEPI,,Fairy,,TRUE,TRUE
257,176,TOGETIC,,Fairy,Flying,TRUE,TRUE
258,177,NATU,,Psychic,Flying,TRUE,TRUE
259,178,XATU,FEMALE,Psychic,Flying,TRUE,TRUE
260,178,XATU,MALE,Psychic,Flying,TRUE,TRUE
261,179,MAREEP,,Electric,,TRUE,TRUE
262,180,FLAAFFY,,Electric,,TRUE,TRUE
263,181,AMPHAROS,,Electric,,TRUE,TRUE
264,181,AMPHAROS,MEGA,Electric,Dragon,TRUE,FALSE
265,182,BELLOSSOM,,Grass,,TRUE,TRUE
266,183,MARILL,,Water,Fairy,TRUE,TRUE
267,184,AZUMARILL,,Water,Fairy,TRUE,TRUE
268,185,SUDOWOODO,FEMALE,Rock,,TRUE,TRUE
269,185,SUDOWOODO,MALE,Rock,,TRUE,TRUE
270,186,POLITOED,FEMALE,Water,,TRUE,TRUE
271,186,POLITOED,MALE,Water,,TRUE,TRUE
272,187,HOPPIP,,Grass,Flying,TRUE,TRUE
273,188,SKIPLOOM,,Grass,Flying,TRUE,TRUE
274,189,JUMPLUFF,,Grass,Flying,TRUE,TRUE
275,190,AIPOM,FEMALE,Normal,,TRUE,TRUE
276,190,AIPOM,MALE,Normal,,TRUE,TRUE
277,191,SUNKERN,,Grass,,TRUE,TRUE
278,192,SUNFLORA,,Grass,,TRUE,TRUE
279,193,YANMA,,Bug,Flying,TRUE,TRUE
280,194,WOOPER,FEMALE,Water,Ground,TRUE,TRUE
281,194,WOOPER,MALE,Water,Ground,TRUE,TRUE
282,195,QUAGSIRE,FEMALE,Water,Ground,TRUE,TRUE
283,195,QUAGSIRE,MALE,Water,Ground,TRUE,TRUE
284,196,ESPEON,,Psychic,,TRUE,TRUE
285,197,UMBREON,,Dark,,TRUE,TRUE
286,198,MURKROW,FEMALE,Dark,Flying,TRUE,TRUE
287,198,MURKROW,MALE,Dark,Flying,TRUE,TRUE
288,199,SLOWKING,,Water,Psychic,TRUE,TRUE
289,200,MISDREAVUS,,Ghost,,TRUE,TRUE
290,201,UNOWN,A,Psychic,,TRUE,TRUE
291,201,UNOWN,B,Psychic,,TRUE,TRUE
292,201,UNOWN,C,Psychic,,TRUE,TRUE
293,201,UNOWN,D,Psychic,,TRUE,TRUE
294,201,UNOWN,E,Psychic,,TRUE,TRUE
295,201,UNOWN,F,Psychic,,TRUE,TRUE
296,201,UNOWN,G,Psychic,,TRUE,TRUE
297,201,UNOWN,H,Psychic,,TRUE,TRUE
298,201,UNOWN,I,Psychic,,TRUE,TRUE
299,201,UNOWN,J,Psychic,,TRUE,TRUE
300,201,UNOWN,K,Psychic,,TRUE,TRUE
301,201,UNOWN,L,Psychic,,TRUE,TRUE
302,201,UNOWN,M,Psychic,,TRUE,TRUE
303,201,UNOWN,N,Psychic,,TRUE,TRUE
304,201,UNOWN,O,Psychic,,TRUE,TRUE
305,201,UNOWN,P,Psychic,,TRUE,TRUE
306,201,UNOWN,Q,Psychic,,TRUE,TRUE
307,201,UNOWN,R,Psychic,,TRUE,TRUE
308,201,UNOWN,S,Psychic,,TRUE,TRUE
309,201,UNOWN,T,Psychic,,TRUE,TRUE
310,201,UNOWN,U,Psychic,,TRUE,TRUE
311,201,UNOWN,V,Psychic,,TRUE,TRUE
312,201,UNOWN,W,Psychic,,TRUE,TRUE
313,201,UNOWN,X,Psychic,,TRUE,TRUE
314,201,UNOWN,Y,Psychic,,TRUE,TRUE
315,201,UNOWN,Z,Psychic,,TRUE,TRUE
316,201,UNOWN,!,Psychic,,TRUE,TRUE
317,201,UNOWN,?,Psychic,,TRUE,TRUE
318,202,WOBBUFFET,FEMALE,Psychic,,TRUE,TRUE
319,202,WOBBUFFET,MALE,Psychic,,TRUE,TRUE
320,203,GIRAFARIG,FEMALE,Normal,Psychic,TRUE,TRUE
321,203,GIRAFARIG,MALE,Normal,Psychic,TRUE,TRUE
322,204,PINECO,,Bug,,TRUE,TRUE
323,205,FORRETRESS,,Bug,Steel,TRUE,TRUE
324,206,DUNSPARCE,,Normal,,TRUE,TRUE
325,207,GLIGAR,FEMALE,Ground,Flying,TRUE,TRUE
326,207,GLIGAR,MALE,Ground,Flying,TRUE,TRUE
327,208,STEELIX,FEMALE,Steel,Ground,TRUE,TRUE
328,208,STEELIX,MALE,Steel,Ground,TRUE,TRUE
329,208,STEELIX,MEGA,Steel,Ground,TRUE,FALSE
330,209,SNUBBULL,,Fairy,,TRUE,TRUE
331,210,GRANBULL,,Fairy,,TRUE,TRUE
332,211,QWILFISH,,Water,Poison,TRUE,TRUE
333,212,SCIZOR,FEMALE,Bug,Steel,TRUE,TRUE
334,212,SCIZOR,MALE,Bug,Steel,TRUE,TRUE
335,212,SCIZOR,MEGA,Bug,Steel,TRUE,FALSE
336,213,SHUCKLE,,Bug,Rock,TRUE,TRUE
337,214,HERACROSS,FEMALE,Bug,Fighting,TRUE,TRUE
338,214,HERACROSS,MALE,Bug,Fighting,TRUE,TRUE
339,214,HERACROSS,MEGA,Bug,Fighting,TRUE,FALSE
340,215,SNEASEL,FEMALE,Dark,Ice,TRUE,TRUE
341,215,SNEASEL,MALE,Dark,Ice,TRUE,TRUE
342,216,TEDDIURSA,,Normal,,TRUE,TRUE
343,217,URSARING,FEMALE,Normal,,TRUE,TRUE
344,217,URSARING,MALE,Normal,,TRUE,TRUE
345,218,SLUGMA,,Fire,,TRUE,TRUE
346,219,MAGCARGO,,Fire,Rock,TRUE,TRUE
347,220,SWINUB,,Ice,Ground,TRUE,TRUE
348,221,PILOSWINE,FEMALE,Ice,Ground,TRUE,TRUE
349,221,PILOSWINE,MALE,Ice,Ground,TRUE,TRUE
350,222,CORSOLA,,Water,Rock,TRUE,TRUE
351,222,CORSOLA,GALARIAN,Ghost,,TRUE,TRUE
352,223,REMORAID,,Water,,TRUE,TRUE
353,224,OCTILLERY,FEMALE,Water,,TRUE,TRUE
354,224,OCTILLERY,MALE,Water,,TRUE,TRUE
355,225,DELIBIRD,,Ice,Flying,TRUE,TRUE
356,226,MANTINE,,Water,Flying,TRUE,TRUE
357,227,SKARMORY,,Steel,Flying,TRUE,TRUE
358,228,HOUNDOUR,,Dark,Fire,TRUE,TRUE
359,229,HOUNDOOM,FEMALE,Dark,Fire,TRUE,TRUE
360,229,HOUNDOOM,MALE,Dark,Fire,TRUE,TRUE
361,229,HOUNDOOM,MEGA,Dark,Fire,TRUE,FALSE
362,230,KINGDRA,,Water,Dragon,TRUE,TRUE
363,231,PHANPY,,Ground,,TRUE,TRUE
364,232,DONPHAN,FEMALE,Ground,,TRUE,TRUE
365,232,DONPHAN,MALE,Ground,,TRUE,TRUE
366,233,PORYGON2,,Normal,,TRUE,TRUE
367,234,STANTLER,,Normal,,TRUE,TRUE
368,235,SMEARGLE,,Normal,,TRUE,TRUE
369,236,TYROGUE,,Fighting,,TRUE,TRUE
370,237,HITMONTOP,,Fighting,,TRUE,TRUE
371,238,SMOOCHUM,,Ice,Psychic,TRUE,TRUE
372,239,ELEKID,,Electric,,TRUE,TRUE
373,240,MAGBY,,Fire,,TRUE,TRUE
374,241,MILTANK,,Normal,,TRUE,TRUE
375,242,BLISSEY,,Normal,,TRUE,TRUE
376,243,RAIKOU,,Electric,,TRUE,TRUE
377,244,ENTEI,,Fire,,TRUE,TRUE
378,245,SUICUNE,,Water,,TRUE,TRUE
379,246,LARVITAR,,Rock,Ground,TRUE,TRUE
380,247,PUPITAR,,Rock,Ground,TRUE,TRUE
381,248,TYRANITAR,,Rock,Dark,TRUE,TRUE
382,248,TYRANITAR,MEGA,Rock,Dark,TRUE,FALSE
383,249,LUGIA,,Psychic,Flying,TRUE,TRUE
384,250,HO-OH,,Fire,Flying,TRUE,TRUE
385,251,CELEBI,,Psychic,Grass,TRUE,TRUE
386,252,TREECKO,,Grass,,TRUE,TRUE
387,253,GROVYLE,,Grass,,TRUE,TRUE
388,254,SCEPTILE,,Grass,,TRUE,TRUE
389,254,SCEPTILE,MEGA,Grass,Dragon,TRUE,FALSE
390,255,TORCHIC,FEMALE,Fire,,TRUE,TRUE
391,255,TORCHIC,MALE,Fire,,TRUE,TRUE
392,256,COMBUSKEN,FEMALE,Fire,Fighting,TRUE,TRUE
393,256,COMBUSKEN,MALE,Fire,Fighting,TRUE,TRUE
394,257,BLAZIKEN,FEMALE,Fire,Fighting,TRUE,TRUE
395,257,BLAZIKEN,MALE,Fire,Fighting,TRUE,TRUE
396,257,BLAZIKEN,MEGA,Fire,Fighting,TRUE,FALSE
397,258,MUDKIP,,Water,,TRUE,TRUE
398,259,MARSHTOMP,,Water,Ground,TRUE,TRUE
399,260,SWAMPERT,,Water,Ground,TRUE,TRUE
400,260,SWAMPERT,MEGA,Water,Ground,TRUE,FALSE
401,261,POOCHYENA,,Dark,,TRUE,TRUE
402,262,MIGHTYENA,,Dark,,TRUE,TRUE
403,263,ZIGZAGOON,,Normal,,TRUE,TRUE
404,263,ZIGZAGOON,GALARIAN,Dark,Normal,TRUE,TRUE
405,264,LINOONE,,Normal,,TRUE,TRUE
406,264,LINOONE,GALARIAN,Dark,Normal,TRUE,TRUE
407,265,WURMPLE,,Bug,,TRUE,TRUE
408,266,SILCOON,,Bug,,TRUE,TRUE
409,267,BEAUTIFLY,FEMALE,Bug,Flying,TRUE,TRUE
410,267,BEAUTIFLY,MALE,Bug,Flying,TRUE,TRUE
411,268,CASCOON,,Bug,,TRUE,TRUE
412,269,DUSTOX,FEMALE,Bug,Poison,TRUE,TRUE
413,269,DUSTOX,MALE,Bug,Poison,TRUE,TRUE
414,270,LOTAD,,Water,Grass,TRUE,TRUE
415,271,LOMBRE,,Water,Grass,TRUE,TRUE
416,272,LUDICOLO,FEMALE,Water,Grass,TRUE,TRUE
417,272,LUDICOLO,MALE,Water,Grass,TRUE,TRUE
418,273,SEEDOT,,Grass,,TRUE,TRUE
419,274,NUZLEAF,FEMALE,Grass,Dark,TRUE,TRUE
420,274,NUZLEAF,MALE,Grass,Dark,TRUE,TRUE
421,275,SHIFTRY,FEMALE,Grass,Dark,TRUE,TRUE
422,275,SHIFTRY,MALE,Grass,Dark,TRUE,TRUE
423,276,TAILLOW,,Normal,Flying,TRUE,TRUE
424,277,SWELLOW,,Normal,Flying,TRUE,TRUE
425,278,WINGULL,,Water,Flying,TRUE,TRUE
426,279,PELIPPER,,Water,Flying,TRUE,TRUE
427,280,RALTS,,Psychic,Fairy,TRUE,TRUE
428,281,KIRLIA,,Psychic,Fairy,TRUE,TRUE
429,282,GARDEVOIR,,Psychic,Fairy,TRUE,TRUE
430,282,GARDEVOIR,MEGA,Psychic,Fairy,TRUE,FALSE
431,283,SURSKIT,,Bug,Water,TRUE,TRUE
432,284,MASQUERAIN,,Bug,Flying,TRUE,TRUE
433,285,SHROOMISH,,Grass,,TRUE,TRUE
434,286,BRELOOM,,Grass,Fighting,TRUE,TRUE
435,287,SLAKOTH,,Normal,,TRUE,TRUE
436,288,VIGOROTH,,Normal,,TRUE,TRUE
437,289,SLAKING,,Normal,,TRUE,TRUE
438,290,NINCADA,,Bug,Ground,TRUE,TRUE
439,291,NINJASK,,Bug,Flying,TRUE,TRUE
440,292,SHEDINJA,,Bug,Ghost,TRUE,TRUE
441,293,WHISMUR,,Normal,,TRUE,TRUE
442,294,LOUDRED,,Normal,,TRUE,TRUE
443,295,EXPLOUD,,Normal,,TRUE,TRUE
444,296,MAKUHITA,,Fighting,,TRUE,TRUE
445,297,HARIYAMA,,Fighting,,TRUE,TRUE
446,298,AZURILL,,Normal,Fairy,TRUE,TRUE
447,299,NOSEPASS,,Rock,,TRUE,TRUE
448,300,SKITTY,,Normal,,TRUE,TRUE
449,301,DELCATTY,,Normal,,TRUE,TRUE
450,302,SABLEYE,,Dark,Ghost,TRUE,TRUE
451,302,SABLEYE,MEGA,Dark,Ghost,TRUE,FALSE
452,303,MAWILE,,Steel,Fairy,TRUE,TRUE
453,303,MAWILE,MEGA,Steel,Fairy,TRUE,FALSE
454,304,ARON,,Steel,Rock,TRUE,TRUE
